feature,importance
MitreTechniques_T1071,0.00027557688689405747
ThreatFamily_CustomEnterpriseBlockOnly,0.0002457691525157159
ThreatFamily_CymRan,0.00024050916710935608
MitreTechniques_T1640,0.0002386802925781316
MitreTechniques_T1562,0.00022926022254528508
MitreTechniques_T1189;T1071;T1203,0.00022238602203465774
MitreTechniques_T1059.003,0.0002179697124613609
MitreTechniques_T1059.001;T1059.005;T1059.007,0.00014832587402335886
SuspicionLevel_Other,0.00012024953290078782
MitreTechniques_T1568;T1573;T1008,0.00011293788325635439
MitreTechniques_T1003,0.00010611760955006693
MitreTechniques_T1078.004,8.588499407313306e-05
MitreTechniques_T1078;T1098,9.16423003536148e-06
Category_Other,0.0
MitreTechniques_T1003;T1003.002;T1003.004;T1012;T1021;T1090.001;T1112;T1489;T1543.003;T1559;T1569.002,0.0
MitreTechniques_T1537;T1567,0.0
MitreTechniques_T1112;T1547.001,0.0
MitreTechniques_T1190;T1133,0.0
MitreTechniques_T1110;T1078,0.0
MitreTechniques_T1485;T1565;T1491,0.0
MitreTechniques_T1055;T1105,0.0
MitreTechniques_T1071;T1571,0.0
MitreTechniques_T1027;T1204.002,0.0
MitreTechniques_T1007;T1016;T1018;T1049;T1087;T1135,0.0
MitreTechniques_T1027;T1027.002;T1027.005;T1105;T1204.002,0.0
MitreTechniques_T1005,0.0
MitreTechniques_T1027.002;T1027.005;T1059.003;T1105,0.0
MitreTechniques_T1087;T1110,0.0
MitreTechniques_T1586,0.0
LastVerdict_Other,0.0
